section_ID,area_pre,area_post,area_change,scan_page_pre,scan_page_post,notes_pre,notes_post
17.11.4,3.862,3.883,0.021,AV_Ambient_3of3_pre,AV_choice_post_scan6,,
17.11.5,3.904,3.897,-0.007,Control_Reduced_1of3_pre,AV_choice_post_scan11,,
17.11.6,3.885,3.827,-0.058,AV_Ambient_3of3_pre,AV_choice_post_scan1,,
17.11.7,3.877,3.791,-0.086,AV_Ambient_1of3_pre,AV_choice_post_scan5,,
17.11.8,3.757,3.733,-0.024,AV_Reduced_3of3_pre,AV_choice_post_scan2,,
17.11.9,3.972,3.966,-0.006,Control_Ambient_2of3_pre,AV_choice_post_scan10,,
21.10.1,2.826,2.901,0.075,Control_Ambient_3of3_pre,AV_choice_post_scan9,,
21.10.10,3.055,3.068,0.013,Control_Ambient_2of3_pre,AV_choice_post_scan9,,
21.10.2,2.999,3.033,0.034,Control_Reduced_1of3_pre,AV_choice_post_scan10,,
21.10.3,3.065,2.551,-0.514,AV_Reduced_1of3_pre,AV_choice_post_scan3,,
21.10.4,3.065,3.059,-0.006,Control_Ambient_3of3_pre,AV_choice_post_scan8,,
21.10.5,3.121,3.076,-0.045,AV_Reduced_1of3_pre,AV_choice_post_scan7,,
21.10.6,3.034,3.023,-0.011,Control_Ambient_2of3_pre,AV_choice_post_scan12,,
21.10.7,3.072,2.09,-0.982,AV_Reduced_3of3_pre,AV_choice_post_scan5,,
21.10.8,3.070,3.076,0.006,Control_Reduced_3of3_pre,AV_choice_post_scan8,,
21.10.9,3.077,2.395,-0.682,AV_Ambient_1of3_pre,AV_choice_post_scan6,,
21.4.1,3.650,3.605,-0.045,Control_Ambient_1of3_pre,AV_choice_post_scan10,,
21.4.10,3.779,3.618,-0.161,AV_Ambient_1of3_pre,AV_choice_post_scan1,,
21.4.2,3.578,3.634,0.056,AV_Reduced_1of3_pre,AV_choice_post_scan2,,
21.4.3,3.639,3.639,0.000,Control_Reduced_3of3_pre,AV_choice_post_scan12,,
21.4.4,3.606,3.595,-0.011,AV_Ambient_2of3_pre,AV_choice_post_scan5,,
21.4.5,3.658,3.666,0.008,Control_Ambient_1of3_pre,AV_choice_post_scan9,,
21.4.6,3.643,3.738,0.095,AV_Reduced_3of3_pre,AV_choice_post_scan4,,
21.4.7,3.517,3.596,0.079,Control_Reduced_2of3_pre,AV_choice_post_scan8,,manual due to shadows
21.4.8,3.706,3.109,-0.597,AV_Ambient_3of3_pre,AV_choice_post_scan3,,
21.4.9,3.601,3.649,0.048,Control_Ambient_3of3_pre,AV_choice_post_scan9,,
24.11.1,3.656,3.653,-0.003,AV_Reduced_2of3_pre,AV_choice_post_scan4,,
24.11.10,3.653,3.591,-0.062,AV_Ambient_3of3_pre,AV_choice_post_scan4,,
24.11.2,3.669,3.688,0.019,Control_Reduced_1of3_pre,AV_choice_post_scan10,,
24.11.3,3.645,3.655,0.010,AV_Ambient_2of3_pre,AV_choice_post_scan3,auto tool picked up the border; outlined by hand,
24.11.4,3.721,3.686,-0.035,AV_Ambient_3of3_pre,AV_choice_post_scan6,,
24.11.5,3.686,3.708,0.022,Control_Ambient_1of3_pre,AV_choice_post_scan9,,
24.11.6,3.743,3.717,-0.026,AV_Reduced_3of3_pre,AV_choice_post_scan4,,
24.11.7,3.760,3.838,0.078,Control_Reduced_2of3_pre,AV_choice_post_scan8,,
24.11.8,3.786,3.795,0.009,Control_Reduced_2of3_pre,AV_choice_post_scan8,,
24.11.9,3.756,3.716,-0.040,AV_Ambient_1of3_pre,AV_choice_post_scan6,,
24.6.1,2.947,2.99,0.043,Control_Ambient_3of3_pre,AV_choice_post_scan9,,
24.6.10,3.435,3.373,-0.062,AV_Ambient_1of3_pre,AV_choice_post_scan1,,
24.6.2,3.188,3.218,0.030,Control_Ambient_1of3_pre,AV_choice_post_scan7,,
24.6.3,3.140,3.15,0.010,AV_Reduced_2of3_pre,AV_choice_post_scan2,,
24.6.4,3.247,3.212,-0.035,Control_Reduced_1of3_pre,AV_choice_post_scan11,,
24.6.5,3.223,3.157,-0.066,AV_Reduced_2of3_pre,AV_choice_post_scan1,,
24.6.6,3.329,3.295,-0.034,AV_Ambient_3of3_pre,AV_choice_post_scan1,,
24.6.7,3.305,3.306,0.001,Control_Ambient_2of3_pre,AV_choice_post_scan10,,
24.6.8,3.343,3.321,-0.022,AV_Ambient_1of3_pre,AV_choice_post_scan6,,
24.6.9,3.322,3.361,0.039,Control_Ambient_3of3_pre,AV_choice_post_scan9,,
26.7.1,3.784,3.756,-0.028,AV_Reduced_2of3_pre,AV_choice_post_scan4,,
26.7.10,3.835,3.485,-0.350,AV_Reduced_3of3_pre,AV_choice_post_scan6,,
26.7.2,3.921,3.932,0.011,AV_Ambient_2of3_pre,AV_choice_post_scan2,auto tool picked up the border; outlined by hand,
26.7.3,3.819,3.842,0.023,Control_Ambient_1of3_pre,AV_choice_post_scan12,,picked up the border of the label when auto-measuring; outlined by hand for measurement
26.7.4,3.859,3.752,-0.107,AV_Ambient_3of3_pre,AV_choice_post_scan6,,
26.7.5,3.934,3.932,-0.002,Control_Reduced_1of3_pre,AV_choice_post_scan11,,picked up a bunch of the datasheet border in addition to the leaf piece when auto-measuring; outlined by hand for measurement
26.7.6,3.923,3.881,-0.042,AV_Ambient_1of3_pre,AV_choice_post_scan5,,
26.7.7,3.879,3.911,0.032,Control_Ambient_3of3_pre,AV_choice_post_scan8,,
26.7.8,3.869,3.535,-0.334,AV_Reduced_3of3_pre,AV_choice_post_scan2,,
26.7.9,3.876,3.879,0.003,Control_Reduced_2of3_pre,AV_choice_post_scan7,,manual due to shadows
26.9.1,3.323,3.09,-0.233,AV_Reduced_1of3_pre,AV_choice_post_scan3,,
26.9.10,3.494,3.484,-0.010,AV_Ambient_3of3_pre,AV_choice_post_scan4,,
26.9.2,3.407,3.395,-0.012,AV_Ambient_3of3_pre,AV_choice_post_scan4,,
26.9.3,3.503,3.52,0.017,Control_Reduced_1of3_pre,AV_choice_post_scan11,,
26.9.4,3.508,3.51,0.002,Control_Ambient_1of3_pre,AV_choice_post_scan10,,
26.9.5,3.556,3.521,-0.035,AV_Ambient_2of3_pre,AV_choice_post_scan4,,
26.9.6,3.522,3.511,-0.011,Control_Reduced_2of3_pre,AV_choice_post_scan12,,
26.9.7,3.590,3.548,-0.042,AV_Reduced_2of3_pre,AV_choice_post_scan1,,
26.9.8,3.577,3.255,-0.322,AV_Ambient_1of3_pre,AV_choice_post_scan6,,
26.9.9,3.504,3.565,0.061,Control_Ambient_2of3_pre,AV_choice_post_scan10,,
28.11.1,3.271,3.334,0.063,Control_Reduced_1of3_pre,AV_choice_post_scan9,,
28.11.10,3.748,3.736,-0.012,AV_Reduced_3of3_pre,AV_choice_post_scan6,,
28.11.2,3.506,3.442,-0.064,AV_Ambient_2of3_pre,AV_choice_post_scan2,,
28.11.3,3.609,3.594,-0.015,AV_Reduced_1of3_pre,AV_choice_post_scan3,,
28.11.4,3.651,3.7,0.049,Control_Ambient_1of3_pre,AV_choice_post_scan10,,
28.11.5,3.787,3.753,-0.034,AV_Reduced_1of3_pre,AV_choice_post_scan7,,
28.11.6,3.741,3.749,0.008,Control_Reduced_3of3_pre,AV_choice_post_scan11,,
28.11.7,3.822,3.8,-0.022,AV_Reduced_3of3_pre,AV_choice_post_scan5,,
28.11.8,3.759,3.76,0.001,Control_Ambient_2of3_pre,AV_choice_post_scan7,,
28.11.9,3.757,3.785,0.028,Control_Reduced_2of3_pre,AV_choice_post_scan7,,
28.3.1,3.757,3.758,0.001,AV_Reduced_1of3_pre,AV_choice_post_scan3,,
28.3.10,3.841,3.873,0.032,Control_Reduced_2of3_pre,AV_choice_post_scan11,,
28.3.2,3.943,3.993,0.050,Control_Ambient_1of3_pre,AV_choice_post_scan7,,
28.3.3,3.929,3.734,-0.195,AV_Ambient_2of3_pre,AV_choice_post_scan3,,
28.3.4,4.012,4.007,-0.005,Control_Reduced_1of3_pre,AV_choice_post_scan11,,
28.3.5,3.939,3.956,0.017,AV_Ambient_2of3_pre,AV_choice_post_scan4,,
28.3.6,3.996,3.978,-0.018,AV_Ambient_1of3_pre,AV_choice_post_scan5,,
28.3.7,3.981,4.024,0.043,Control_Ambient_3of3_pre,AV_choice_post_scan8,,
28.3.8,3.928,3.352,-0.576,AV_Ambient_3of3_pre,AV_choice_post_scan3,,
28.3.9,3.930,3.835,-0.095,AV_Reduced_2of3_pre,AV_choice_post_scan5,,
4.6.1,3.747,3.796,0.049,AV_Ambient_2of3_pre,AV_choice_post_scan2,,
4.6.10,3.836,3.838,0.002,Control_Ambient_2of3_pre,AV_choice_post_scan9,,
4.6.2,3.947,3.939,-0.008,AV_Ambient_3of3_pre,AV_choice_post_scan4,,
4.6.3,3.912,3.982,0.070,Control_Reduced_1of3_pre,AV_choice_post_scan11,,
4.6.4,3.895,3.896,0.001,AV_Reduced_1of3_pre,AV_choice_post_scan3,,
4.6.5,3.889,3.937,0.048,Control_Ambient_1of3_pre,AV_choice_post_scan9,,
4.6.6,3.906,3.945,0.039,Control_Reduced_2of3_pre,AV_choice_post_scan12,,
4.6.7,3.896,3.99,0.094,Control_Reduced_2of3_pre,AV_choice_post_scan8,,
4.6.8,3.861,3.369,-0.492,AV_Ambient_1of3_pre,AV_choice_post_scan6,,
4.6.9,3.795,3.768,-0.027,AV_Reduced_3of3_pre,AV_choice_post_scan6,,
4.7.1,3.955,3.917,-0.038,Control_Ambient_1of3_pre,AV_choice_post_scan10,,
4.7.10,3.705,3.673,-0.032,AV_Ambient_3of3_pre,AV_choice_post_scan4,,
4.7.2,3.638,3.659,0.021,Control_Reduced_3of3_pre,AV_choice_post_scan7,,
4.7.3,3.792,3.555,-0.237,AV_Reduced_2of3_pre,AV_choice_post_scan2,,
4.7.4,3.758,3.392,-0.366,AV_Ambient_2of3_pre,AV_choice_post_scan5,,
4.7.5,3.804,3.755,-0.049,Control_Ambient_3of3_pre,AV_choice_post_scan1,,
4.7.6,3.708,3.669,-0.039,AV_Reduced_3of3_pre,AV_choice_post_scan4,,
4.7.7,3.822,3.815,-0.007,Control_Ambient_2of3_pre,AV_choice_post_scan10,,
4.7.8,3.677,3.722,0.045,Control_Reduced_3of3_pre,AV_choice_post_scan8,,
4.7.9,3.798,3.758,-0.040,AV_Ambient_1of3_pre,AV_choice_post_scan6,,
7.11.1,3.566,3.584,0.018,Control_Ambient_1of3_pre,AV_choice_post_scan10,,
7.11.10,3.718,3.749,0.031,AV_Ambient_3of3_pre,AV_choice_post_scan4,,
7.11.2,3.618,3.597,-0.021,AV_Ambient_2of3_pre,AV_choice_post_scan2,,
7.11.3,3.688,3.671,-0.017,Control_Reduced_1of3_pre,AV_choice_post_scan11,,
7.11.4,3.840,3.814,-0.026,Control_Ambient_1of3_pre,AV_choice_post_scan10,,
7.11.5,3.728,3.806,0.078,Control_Reduced_1of3_pre,AV_choice_post_scan11,,
7.11.6,3.847,3.309,-0.538,AV_Ambient_1of3_pre,AV_choice_post_scan5,,
7.11.7,3.897,3.944,0.047,Control_Ambient_3of3_pre,AV_choice_post_scan8,,
7.11.8,3.679,3.654,-0.025,AV_Ambient_3of3_pre,AV_choice_post_scan3,,
7.11.9,3.605,3.644,0.039,Control_Reduced_2of3_pre,AV_choice_post_scan7,,
7.8.1,3.616,3.586,-0.030,AV_Reduced_1of3_pre,AV_choice_post_scan3,,
7.8.10,4.132,4.105,-0.027,AV_Ambient_1of3_pre,AV_choice_post_scan1,,
7.8.2,3.867,3.881,0.014,Control_Reduced_1of3_pre,AV_choice_post_scan10,,
7.8.3,3.833,3.859,0.026,Control_Reduced_3of3_pre,AV_choice_post_scan12,,
7.8.4,3.947,3.931,-0.016,AV_Reduced_1of3_pre,AV_choice_post_scan3,,
7.8.5,4.004,4.02,0.016,Control_Ambient_1of3_pre,AV_choice_post_scan9,,
7.8.6,3.774,3.787,0.013,Control_Reduced_2of3_pre,AV_choice_post_scan12,,
7.8.7,3.755,3.76,0.005,Control_Reduced_2of3_pre,AV_choice_post_scan8,,
7.8.8,3.967,4.039,0.072,Control_Reduced_3of3_pre,AV_choice_post_scan8,,
7.8.9,3.941,3.573,-0.368,AV_Reduced_2of3_pre,AV_choice_post_scan5,,
